product_zone	3	city_id	bigint
product_zone	4	county	text
product_zone	5	is_unincorporated	boolean
project	1	id	bigint
project	2	netsuite_id	bigint
project	3	aro_id	text
project	4	alt_name	text
project	5	property_id	bigint
project	6	primavera_program_id	bigint
project	7	ss_buyout_id	text
project	8	ss_reporting_id	text
project	9	ss_punch_id	text
project	10	home_product_id	bigint
project	11	nta_version_id	bigint
project	12	serial_number	text
project	13	status	bigint
project	14	product_version_id	bigint
project	15	archive	boolean
project_details	1	project_id	bigint
project_details	2	foundation_type_id	bigint
project_details	3	development_manager_id	bigint
project_details	4	reuse_existing_water_meter	boolean
project_details	5	existing_water_meter_id	bigint
project_details	6	new_water_meter_id	bigint
project_details	7	notes	text
project_details	8	civil_engineer_id	bigint
project_details	9	geotechnical_engineer_id	bigint
project_details	10	surveyor_id	bigint
project_details	11	landscape_architect_id	bigint
project_details	12	arborist_id	bigint
project_details	13	structural_engineer_id	bigint
project_details	14	architect_id	bigint
project_details	15	fire_protection_id	bigint
project_manufacturing	1	project_id	bigint
project_manufacturing	2	comments	text
project_manufacturing	3	draft_serial_number	text
project_manufacturing	4	bom_revision_number	text
project_manufacturing	5	design_release_id	bigint
project_manufacturing	6	manufacturing_start_id	bigint
project_manufacturing	7	ship_mods_id	bigint
project_manufacturing	8	ship_field_kit_1_id	bigint
project_manufacturing	9	ship_field_kit_2_id	bigint
project_manufacturing	10	ship_field_kit_3_id	bigint
project_manufacturing	11	ship_field_kit_4_id	bigint
project_manufacturing	12	material_return_id	bigint
project_manufacturing	13	nta_submission_id	bigint
project_manufacturing	14	submit_building_permit_id	bigint
project_manufacturing	15	demo_start_id	bigint
project_manufacturing	16	mod_set_id	bigint
project_manufacturing	17	interior_punch_id	bigint
project_manufacturing	18	staging_id	bigint
project_manufacturing	19	certificate_of_occupancy_id	bigint
project_manufacturing	20	foundation_fid_id	bigint
project_manufacturing	21	hers_rater_id	bigint
project_product_configuration	1	project_id	bigint
project_product_configuration	3	foundation_option_id	bigint
project_product_configuration	4	siding_color_option_id	bigint
project_product_configuration	5	roof_option_id	bigint
project_product_configuration	6	deck_option_id	bigint
project_product_configuration	7	deck_riser_option_id	bigint
project_product_configuration	8	existing_water_meter_id	bigint
project_product_configuration	9	new_water_meter_id	bigint
project_product_configuration	10	reuse_existing_sewer_lateral_id	bigint
project_product_configuration	11	backflow_prevention_id	bigint
project_site_configuration	1	project_id	bigint
project_status_type	1	id	bigint
project_status_type	2	name	text
property	1	id	bigint
property	2	tax_id	bigint
property	3	apn	text
property	4	last_update	timestamp with time zone
property	5	external_update	timestamp with time zone
property_address	1	property_id	bigint
property_address	2	neighborhood_code	text
property_address	3	neighborhood_name	text
property_address	4	zip_code	text
property_address	5	zip_4_code	text
property_address	6	house_number	text
property_address	7	street_id	bigint
property_address	8	unit_prefix	text
property_address	9	unit_value	text
property_address	10	has_streetview_image	boolean
property_attom	1	property_id	bigint
property_attom	2	attom_id	bigint
property_attom	4	parcel_geo_id	text
property_avm	1	property_id	bigint
property_avm	3	estimated_value	numeric
property_avm	4	estimated_min_value	numeric
property_avm	5	estimated_max_value	numeric
property_avm	6	confidence_score	numeric
property_avm	7	fsd	numeric
property_avm	8	estimated_spread	numeric
property_avm	9	grade	integer
property_avm	10	inferred_estimated_value	numeric
property_avm	11	ah1_estimated_value	numeric
property_avm	12	inferred_ah1_estimated_value	numeric
property_feasibility	1	property_id	bigint
property_feasibility	2	has_asce_7_16	boolean
property_feasibility	3	asce_7_16_ss	numeric
property_feasibility	4	asce_7_16_json	jsonb
property_geometry	1	property_id	bigint
property_geometry	2	center_point	USER-DEFINED
property_geometry	3	perimeter	USER-DEFINED
property_geometry	4	perimeter_json	jsonb
property_geometry	5	vendor_lot_width_ft	numeric
property_geometry	6	vendor_lot_depth_ft	numeric
property_geometry	7	lot_size_sq_ft	numeric
property_geometry	8	inferred_lot_width_ft	numeric
